file,function,changes_in_30_days,initial_commit_date
apps/web/src/views/Swap/V3Swap/hooks/useSwapBestTrade.ts,useDeferredValue,1,2023-04-10 03:44:18+00:00
apps/web/vitest.setup.js,(anonymous),2,2023-04-10 03:44:18+00:00
apps/web/vitest.setup.js,useRouter,1,2023-04-10 03:44:18+00:00
packages/smart-router/evm/v3-router/providers/multicallProvider.ts,>,6,2023-04-10 03:44:18+00:00
packages/smart-router/evm/v3-router/providers/multicallSwapProvider.ts,>,8,2023-04-10 03:44:18+00:00
packages/smart-router/evm/v3-router/providers/multicallSwapProvider.ts,constructor,4,2023-04-10 03:44:18+00:00
packages/smart-router/evm/v3-router/providers/multicallSwapProvider.ts,BigInt,12,2023-04-10 03:44:18+00:00
packages/smart-router/evm/v3-router/providers/onChainPoolProviderFactory.ts,getPossiblePoolMetas,9,2023-04-10 03:44:18+00:00
packages/smart-router/evm/v3-router/providers/onChainPoolProviderFactory.ts,buildPoolInfoCalls,12,2023-04-10 03:44:18+00:00
packages/smart-router/evm/v3-router/providers/onChainPoolProviderFactory.ts,(anonymous),21,2023-04-10 03:44:18+00:00
packages/smart-router/evm/v3-router/providers/onChainPoolProviderFactory.ts,computePoolAddress,3,2023-04-10 03:44:18+00:00
packages/smart-router/evm/v3-router/providers/onChainPoolProviderFactory.ts,buildPool,3,2023-04-10 03:44:18+00:00
packages/smart-router/evm/v3-router/providers/onChainPoolProviderFactory.ts,calls.map,6,2023-04-10 03:44:18+00:00
packages/smart-router/evm/v3-router/providers/onChainQuoteProvider.ts,getCallInputs,12,2023-04-10 03:44:18+00:00
packages/smart-router/evm/v3-router/providers/onChainQuoteProvider.ts,getQuoterAddress,16,2023-04-10 03:44:18+00:00
packages/smart-router/evm/v3-router/providers/onChainQuoteProvider.ts,getQuoteFunctionName,8,2023-04-10 03:44:18+00:00
packages/smart-router/evm/v3-router/providers/onChainQuoteProvider.ts,adjustQuoteForGas,4,2023-04-10 03:44:18+00:00
packages/smart-router/evm/v3-router/providers/onChainQuoteProvider.ts,(anonymous),64,2023-04-10 03:44:18+00:00
packages/smart-router/evm/v3-router/providers/onChainQuoteProvider.ts,getRoutesWithQuote,4,2023-04-10 03:44:18+00:00
packages/smart-router/evm/v3-router/providers/onChainQuoteProvider.ts,createGetRoutesWithQuotes,4,2023-04-10 03:44:18+00:00
packages/smart-router/evm/v3-router/providers/onChainQuoteProvider.ts,createOnChainQuoteProvider,4,2023-04-10 03:44:18+00:00
packages/smart-router/evm/v3-router/providers/onChainQuoteProvider.ts,flatMap,4,2023-04-10 03:44:18+00:00
packages/smart-router/evm/v3-router/types/providers.ts,getCandidatePools,2,2023-04-10 03:44:18+00:00
packages/smart-router/evm/v3-router/types/providers.ts,getPools,2,2023-04-10 03:44:18+00:00
packages/smart-router/evm/v3-router/types/providers.ts,getRouteWithQuotesExactIn,2,2023-04-10 03:44:18+00:00
packages/smart-router/evm/v3-router/types/providers.ts,getRouteWithQuotesExactOut,2,2023-04-10 03:44:18+00:00
packages/smart-router/evm/v3-router/types/providers.ts,OnChainProvider,2,2023-04-10 03:44:18+00:00
packages/smart-router/evm/v3-router/types/providers.ts,SubgraphProvider,2,2023-04-10 03:44:18+00:00
packages/smart-router/evm/v3-router/utils/swapRouter.test.ts,liquidityGross,1,2023-04-10 03:44:18+00:00
packages/smart-router/evm/v3-router/utils/swapRouter.test.ts,convertV2PoolToSDKPool,2,2023-04-10 03:44:18+00:00
packages/smart-router/evm/v3-router/utils/swapRouter.test.ts,blockNumber,2,2023-04-10 03:44:18+00:00
packages/smart-router/evm/v3-router/utils/swapRouter.test.ts,(anonymous),170,2023-04-10 03:44:18+00:00
packages/smart-router/evm/v3-router/utils/swapRouter.test.ts,v2Trade.routes.map,6,2023-04-10 03:44:18+00:00
