,hash,date,files,deletions,insertions,lines,is_reverted,changes_in_30_days
438,77ba22193f75a838fde3196f6e37ba1b029c5505,2023-05-19 10:49:45+00:00,4,15,8,23,0,31
441,cd26f37871470010066a86b424b40fb63d6aeb3f,2023-05-22 02:54:49+00:00,5,56,19,75,0,3
444,e9347e99240ef5e4d5f5df4e0bf4ca92507fa500,2023-05-22 07:17:07+00:00,33,119,406,525,0,264
445,c14fad420bcdac8038970e7130ec8d5571a1db5f,2023-05-22 08:08:09+00:00,1,1,2,3,0,42
446,bff38ef5ed75ccb23ae0c1c7c3d4f2a370fb2d08,2023-05-22 08:38:38+00:00,2,0,15,15,0,1
449,abc8b16073245a61a3179ae1707f28a95c99713c,2023-05-23 01:37:00+00:00,144,5600,5988,11588,0,724
452,eaf9a97a33a4ad0e83d9015fab7b35e4b8bf9b18,2023-05-23 04:34:38+00:00,1,1,2,3,0,0
453,de16090a2040f49dbec13a7204e41655c96a8e95,2023-05-23 04:36:24+00:00,3,7,11,18,0,10
454,390db9c9f89da6c09d2b784ff342d602b18679f0,2023-05-23 04:42:53+00:00,2,6,6,12,0,16
455,6bed31bab22f0289b4d7f3ae4789d9e2ca8479c1,2023-05-23 06:13:12+00:00,2,0,10,10,0,4
456,84e5baef67169cef5b4754d87618060ecb54f42e,2023-05-23 09:47:45+00:00,2,4,8,12,0,10
457,ad62dd88622698fe622d0dd7e0e05d73345c92db,2023-05-23 10:53:13+00:00,10,54,352,406,0,93
458,8bd6797543eb499c58a13d9b786e7de4fb7e0e0f,2023-05-24 01:44:36+00:00,4,19,8,27,0,16
461,7e904fc6e8e502e772e5b92272be699c6033b755,2023-05-24 03:30:41+00:00,1,0,1,1,0,2
462,5baa33fb5e96f2ab3db925dbaec6cff9591ef80f,2023-05-24 03:33:09+00:00,2,15,0,15,0,0
463,98cc45a29f546bcd9a3ad766b217009cb3666b42,2023-05-24 03:34:41+00:00,7,31,27,58,0,123
464,230bcd982f67dc45bb0038fa41d64153dabb2513,2023-05-24 05:43:18+00:00,1,1,2,3,0,17
465,66cf5a328acd54502676da483eb82c5ca581ea00,2023-05-25 01:37:35+00:00,8,12,41,53,0,58
468,b44641250515ac0651085f8aa80891a6a21a1f3e,2023-05-25 01:54:20+00:00,1,1,1,2,0,23
470,78276f64566e11a55d7ca879a153dae09f4022ba,2023-05-25 06:54:17+00:00,1,2,6,8,0,4
471,b86c4aaa5be2c0e9ec07524740a28fa433723fc1,2023-05-25 07:17:44+00:00,1,6,8,14,0,6
472,f0a025a781e0e02b552390bc9713abe3297be39b,2023-05-25 08:20:32+00:00,2,17,16,33,0,3
473,bfece057ce7b94abd76fd95461a3f1ced5cf16a1,2023-05-25 09:50:33+00:00,1,3,3,6,0,3
476,20418aee8fb5f9b4053f732b6bce5b00229d8295,2023-05-26 04:04:57+00:00,1,10,47,57,0,19
477,f9b250ecbb4a771dc39ea56270e40bba89697613,2023-05-26 07:18:18+00:00,1,0,15,15,0,1
478,fdc7634052411c7400e2fe56b0affa0c1da92fa7,2023-05-26 07:38:03+00:00,1,1,2,3,0,25
479,e015cc52c4991ac797c62f67c0a08bcb58752d1b,2023-05-29 01:15:55+00:00,613,49707,37637,87344,0,3171
483,bad7641299576372d31055d0fc6c82ff6cd5a1ed,2023-05-29 02:53:38+00:00,3,6,5,11,0,80
484,ae0281be7aaa36430d24491bbc5ab6ee65fec881,2023-05-29 03:16:19+00:00,1,28,35,63,0,17
485,9b97c5110dfa62d586eb36db342651d3afebffa9,2023-05-29 09:23:07+00:00,17,718,612,1330,0,91
486,a6de24d80110c445a6d66e26cfa6e1df78a7a465,2023-05-29 11:09:58+00:00,1,1,1,2,0,13
487,f3951cc29ebd6761f7f613cc3a6a9c53d89c113a,2023-05-29 11:18:25+00:00,6,4,8,12,0,31
488,dbbe9ff6deea62f95c145bfb92957348e12eea5a,2023-05-29 12:04:54+00:00,1,1,1,2,0,2
489,872b38f6565a4a642210e296fd1059ce0fda19bd,2023-05-29 12:40:59+00:00,1,1,8,9,0,2
