hash,duplication_percentage
1c18099e5f7fd96b24bd292fca1bb246248bed03,14.67
c2acf32706d51ae0051f3dd15f1692c39421f1c8,14.67
fdd399347e9bf948265f232b88b85fe49bc680ef,14.66
1e344de685a2e030260894e9d0a024f5f29cc149,14.66
6aafd106dcd009a6036d3ccc98910f1c0dbe3c81,14.66
82134f0fad367f32a3d8b526644f24803128095d,14.66
fe79f2edf1ca494213ac327ebb62c98c04ca1958,14.66
e6514c82e095268422e3bc22e1c8520caa1c93f2,14.66
70e3f4440dc380282b0985b8e171e731c384f8e7,14.66
34675d47b2a08ae9186e8e363a31aad06aed2f86,14.66
0ef2024201d502cb4c4b0927d570c315edd3d04e,14.66
4a59f88cda415f6a69edb2f5dfa0824b8657b201,14.66
fed03991c7021041e0d9c0488433dbe857fe1bb3,14.66
491a9d5810d2e4e7ec8870831a749ab8a40fb342,14.67
abddf2021abe19be8b4b7e5b8636f1f547a4da86,14.67
8fcbea4c6993f54e53bec4b78c4c15cb5539e192,14.78
86ff60c3fbee83554bc5395a21b2397169420d81,14.78
e3a26b7e126af32d004cad7b0e0108917d214005,14.78
6ebe500133bca7df7e13731e1035ba7254e3c0a3,14.78
420c729988cd973b90d621bca398c67aec024faa,14.78
c28a6b0294f665b1fb56d49e4bff1f32decb9749,14.78
5cb43ff179c54d6441eb71ae1d3b5733f1c5691d,14.78
6702ee0c4c46df5d84a574c0af035f1caec9ec8d,14.78
cd1cbd434d15258eabd76f5e00b5059d5f6281f3,14.77
f85c34033eda58cc0b9b6723998a1999e060bc5c,14.77
64f680cfd7e318842c4c3c367d85c6ba7a42c525,14.77
6217cc37c3f945ad6bc867aa2c1cf9d0b8701cbb,14.77
25d3cee77255c4273ee5d9d905c739ee36ed2429,14.77
64d7cd0801bae7a0876744cd33d841dcdf6dd9f1,14.77
061648deaf31a555a29c49be54ccd6610f99f3fb,14.77
3ff4b6c2290c06dac309ea22d6983512cd237906,14.77
f3179976604fed98f7903377a701bc5caf3a51f3,14.77
2151a6cdd588c70d131b6ebe396a776358eca75a,14.77
bc811b2a4daafdae63f05486725326dcd58dfb82,14.77
e2e4be1df2706f0a7de69019a30523bde2786dd3,14.77
f3b3f72765ab7f89c80c7fa0e420d46e9f701213,14.77
54d6c440e974d1c7708b71f276eb47a0baefe82e,14.77
e0a681bc68e0f1d1e82db6e48ca48ac5fd710d4e,14.77
2f7f5e1a0e448ca870b2f7333035178906033726,14.77
ca99b0b2fb1f0abd642d6ab836ec861eb26926ec,14.77
8b42c2c8d98529b22869c4e230e59355f57af4e3,14.77
0c71b1a8467b3215e972f22325657bdaf8eee80c,14.77
51b7b1ceb496a5bfe9c91a7b3edd4fa6475e3b24,14.77
6be16b2cae5c129d7bd7a3fb71f2f3977a7ea20b,14.77
1fa68c1725095bb9ed7827533de32ae0ce0ab535,14.78
9d2d1845c1953ffc7233a18b93c3be3998ad757d,14.78
0ca5c67adb1886191c2ab09b6a6af03f49cea2b5,14.78
14b69e538401fb157642b71a6c95b55ed8c84cca,14.78
c013a4c334256a749657fbc2e7596dbc2571f9fe,14.78
709f8863ed3082b1497f264fc35f637d6e41c55c,14.78
d4c131cadfed12507d1e1b2dccc6e5c492f26125,14.78
db8ffd0793c4c1998dc7ca5bce77aadbe3bae51b,14.83
d8742ccbcc855aa65d1c8fb92057c0a5b8996d38,14.83
e2ada6d9fb5445ea9380e16f76024b75d8527583,14.82
726a09484826d6fde32258a8f63ab1061e10a21e,14.82
13ddae5f8be9b828acdbe15f5faa481df65c1a04,14.81
580484ec400db04f6e134aa5484b597ebcea8efc,14.82
6437fbfbad1efce53ce21693f38cb4b57730db16,14.82
981230df0948322fea669dcb07d3129668a5422e,14.82
299cf46b7c54937920478bbb2c09290dff878197,14.82
6da4bb6673ad6eb374643b8aa13e9e3876c266c8,14.82
4ec175001f8d30657d38048b89b185323007e02d,14.82
801df3dcff3b39f98c55e676aa62b6374c5b89cd,14.82
2e4593b56491545f5248461dded64f6244eee2e9,14.82
2a6e2093626a9989ccdf788abf05a6ceb637a099,14.81
d6980a0eccc9629f1836e8d4943cb7ce87842759,14.81
5ef1e69ff6a125efd36919362a7d58b61ca5d05a,14.81
007adc6ef7075bf84ed32c504222575d0253f856,14.81
6f44768edac6f50242595a6d1ba4c5008e934daf,14.81
f4bae0e74b76c642ee47f1e304236f3a8716e7cf,14.81
d64a8b41d988d45c9941ccd7518734e52a520908,14.81
3d18a08d0121b3853fcfa3e1dd8a84ada40fb3d5,14.81
46b9699a9451fbcd30a95ac0e9faa55a8d95257a,14.79
9ef089094611b24478f3c7fad57dbafe043c7d66,14.79
4ca0bde659022501efebf2f7254a585a3ec572fb,14.79
b590424b17b1a50e6ff5e03162bede25e8b81e26,14.79
2b9619fe334e252d0d00d70d60066d0d691d0a78,14.79
5eb817706fd3cf34b83deca82137e15f8d55b7cd,14.77
