programming_language,repo_name,commit_id,tool
TypeScript,pancakeswap/pancake-frontend,159e68dc225ffefb49751a045288f74b9341e6d0,copilot-pr
TypeScript,pancakeswap/pancake-frontend,1c4f53d8764fd1b16c87a30f0d55a578e14a8659,copilot-pr
TypeScript,pancakeswap/pancake-frontend,15520e566225e020d4307222e2de7153d3024848,copilot-pr
TypeScript,pancakeswap/pancake-frontend,5c92269974e2e583dcc01457d2ac1abde859937a,copilot-pr
TypeScript,pancakeswap/pancake-frontend,d65e402e0f9707ac947196b691e5f4e12f52df9a,copilot-pr
TypeScript,pancakeswap/pancake-frontend,ecc79fc67b2f7d925f616f6dae123a3feda8d34e,copilot-pr
TypeScript,pancakeswap/pancake-frontend,38319759ae6e2b7ec35e72a1718fc4010f4a3ee6,copilot-pr
TypeScript,pancakeswap/pancake-frontend,9b5d93eb7f0b264a00447d231e376e5862edf410,copilot-pr
TypeScript,pancakeswap/pancake-frontend,983ebe4180e83aa191fa228e50990a4e3e7cc032,copilot-pr
TypeScript,pancakeswap/pancake-frontend,b59c6a2ccaa73f55946c453cee3c92e3a9ede4d5,copilot-pr
TypeScript,pancakeswap/pancake-frontend,84d406652d837dc48e8a1b403fea787d759bc1c4,copilot-pr
TypeScript,pancakeswap/pancake-frontend,4dd27c7a72f933063a4467b4f18ddcef6b27b9e1,copilot-pr
TypeScript,pancakeswap/pancake-frontend,8d250bece3209d253fb1ed2ea1f65989f69deb6f,copilot-pr
TypeScript,pancakeswap/pancake-frontend,f73f64f081dee45912ea97f99772fb4c7eb0fe93,copilot-pr
TypeScript,pancakeswap/pancake-frontend,8ae637f4084cb293f1d700b81b80dc967cf6065f,copilot-pr
TypeScript,pancakeswap/pancake-frontend,4bd39203fdcb30fc26ce14ea706abfe942f9ca2f,copilot-pr
TypeScript,pancakeswap/pancake-frontend,47f221cc2757b3d9d0101765e3685107bbca4a78,copilot-pr
TypeScript,pancakeswap/pancake-frontend,96acaa46827020dced8ea6d59d9f26b2d80c08e6,copilot-pr
TypeScript,pancakeswap/pancake-frontend,2ceb8e9ff5217b947966b8d8f204090ae1d8c1f5,copilot-pr
TypeScript,pancakeswap/pancake-frontend,5e408a0dbbe75d6182fb68e21481c92b095fee89,copilot-pr
TypeScript,pancakeswap/pancake-frontend,70a787a25eb3e2863e1687aa197f405277154bbc,copilot-pr
TypeScript,pancakeswap/pancake-frontend,8fbb85ae30c03066c8443f4ca02b766725504d20,copilot-pr
TypeScript,pancakeswap/pancake-frontend,0f2e7cb5da67bb09bcec8434961fedd6d7455201,copilot-pr
TypeScript,pancakeswap/pancake-frontend,afde265b04268efbf4ccc39a8195865aea35183b,copilot-pr
TypeScript,pancakeswap/pancake-frontend,696c7e49d1d4bf8dd1378f76f156f907158237ab,copilot-pr
TypeScript,pancakeswap/pancake-frontend,9730294e40379bb2bc9da8765111521d389209bb,copilot-pr
TypeScript,pancakeswap/pancake-frontend,140679114328c2207b20c98b51c4f853689ece43,copilot-pr
TypeScript,pancakeswap/pancake-frontend,7bc181ccb3caa42c2d90c07b74559bde4acd8959,copilot-pr
TypeScript,pancakeswap/pancake-frontend,f1c03d8a3a58c26839b28c3ea55949b5e9923433,copilot-pr
TypeScript,pancakeswap/pancake-frontend,96e07ae1aec7bab12ab5f20efd04f03bea0bf2aa,copilot-pr
TypeScript,pancakeswap/pancake-frontend,850be63ebe7ddb362f304108159375a4b2b33c1d,copilot-pr
TypeScript,pancakeswap/pancake-frontend,56c572418148eb27f71b288f5f955ed399a131a5,copilot-pr
TypeScript,pancakeswap/pancake-frontend,7854230ed1c1fcbff2cfb113ae7d1967bc671ba4,copilot-pr
TypeScript,pancakeswap/pancake-frontend,6a1d6635b7e1af832527c0e88900a060e8152356,copilot-pr
TypeScript,pancakeswap/pancake-frontend,bd94985b0144a4ad41d6226de998141bc1fb3d2b,copilot-pr
TypeScript,pancakeswap/pancake-frontend,9b20ec8c0adbe01a340ade419a111f883992146e,copilot-pr
TypeScript,pancakeswap/pancake-frontend,a00df5467664ac123ae7fa14678b285a3c756e8f,copilot-pr
TypeScript,pancakeswap/pancake-frontend,ed3146c9344e0c51c8cf193a354b0ab9f3011a71,copilot-pr
TypeScript,pancakeswap/pancake-frontend,80bd19b2753f1e9138ba1762246d5c760cde3cab,copilot-pr
TypeScript,pancakeswap/pancake-frontend,462559660d96be54ec87802dabfaf1991572b862,copilot-pr
TypeScript,pancakeswap/pancake-frontend,4e38636d8d187a483c0d4393e03d0d6b2d5303dd,copilot-pr
TypeScript,pancakeswap/pancake-frontend,60e5042bc9ce4a086a4f64d731789c3770e2a3eb,copilot-pr
TypeScript,pancakeswap/pancake-frontend,070354b8a25c40126725aa1bf8fb6a210518fbb2,copilot-pr
TypeScript,pancakeswap/pancake-frontend,569b481d49909d16a2537f5a4e8cf572b21d59e3,copilot
TypeScript,pancakeswap/pancake-frontend,0481d443de79c62bfdc666dc1d43ffd80657db57,copilot-pr
TypeScript,pancakeswap/pancake-frontend,24d68b23d208c22d4a2c3f2aaea04b5da27d8408,copilot-pr
TypeScript,pancakeswap/pancake-frontend,1afb86d2296f18ec1c63e65a660295f608f1ce5c,copilot
TypeScript,pancakeswap/pancake-frontend,c65a2aea9baa9563eff581382e3e1cb4e051e7dd,copilot-pr
